,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7724565,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6556899,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,4553263,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,"Heat Waves","Glass Animals",4365271,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"Bad Habits","Ed Sheeran",3995819,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Pepas,Farruko,3913391,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,Woman,"Doja Cat",3875655,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",3654295,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",3612091,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,3324977,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",3278993,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",3216743,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"Happier Than Ever","Billie Eilish",2899836,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
14,"Need To Know","Doja Cat",2868248,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Way 2 Sexy (with Future & Young Thug)",Drake,2856859,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
16,"love nwantiti (ah ah ah)",CKay,2844136,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
17,"Life Goes On","Oliver Tree",2732051,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Cold Heart - PNAU Remix","Elton John",2676241,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,"Kiss Me More (feat. SZA)","Doja Cat",2589897,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,"Fair Trade (with Travis Scott)",Drake,2366215,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
21,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,2334634,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
22,Yonaguni,"Bad Bunny",2180582,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
23,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2155863,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
24,traitor,"Olivia Rodrigo",2130088,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,"Todo De Ti","Rauw Alejandro",2121114,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
26,LALISA,LISA,2079895,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
27,Volví,Aventura,2036844,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
28,"Levitating (feat. DaBaby)","Dua Lipa",2028294,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
